X=  0.00000, Y=  0.00000, th=  3.14159 
X=  -126.08193, Y=  -0.08165, th=  3.13523 
X=  -126.57061, Y=  -0.07854, th=  3.13523 
X=  -127.54797, Y=  -0.07232, th=  3.13523 
X=  -128.28100, Y=  -0.06882, th=  3.13841 
X=  -129.01403, Y=  -0.06532, th=  3.13523 
X=  -129.99140, Y=  -0.05910, th=  3.13523 
X=  -130.96876, Y=  -0.05288, th=  3.13523 
X=  -131.45745, Y=  -0.04977, th=  3.13523 
X=  -132.43481, Y=  -0.04355, th=  3.13523 
X=  -133.16784, Y=  -0.04005, th=  3.13841 
X=  -133.90087, Y=  -0.03655, th=  3.13523 
X=  -134.87824, Y=  -0.03033, th=  3.13523 
X=  -135.85560, Y=  -0.02411, th=  3.13523 
X=  -136.83296, Y=  -0.01789, th=  3.13523 
X=  -137.56598, Y=  -0.01205, th=  3.13204 
X=  -138.29899, Y=  -0.00622, th=  3.13523 
X=  -139.27636, Y=  -0.00000, th=  3.13523 
X=  -140.00939, Y=  0.00350, th=  3.13841 
X=  -140.98677, Y=  0.00661, th=  3.13841 
X=  -141.71980, Y=  0.01011, th=  3.13523 
X=  -142.69716, Y=  0.01633, th=  3.13523 
X=  -143.67453, Y=  0.02255, th=  3.13523 
X=  -144.40756, Y=  0.02605, th=  3.13841 
X=  -145.14059, Y=  0.02955, th=  3.13523 
X=  -145.87362, Y=  0.03305, th=  3.13841 
X=  -146.85100, Y=  0.03616, th=  3.13841 
X=  -147.82838, Y=  0.03927, th=  3.13841 
X=  -148.56141, Y=  0.04044, th=  3.14159 
X=  -149.29445, Y=  0.04160, th=  3.13841 
X=  -150.02749, Y=  0.04277, th=  3.14159 
X=  -151.00487, Y=  0.04277, th=  3.14159 
X=  -151.73791, Y=  0.04394, th=  3.13841 
X=  -152.71529, Y=  0.04705, th=  3.13841 
X=  -153.44833, Y=  0.04821, th=  3.14159 
X=  -154.42571, Y=  0.04821, th=  3.14159 
X=  -155.15875, Y=  0.04705, th=  -3.13841 
X=  -155.89179, Y=  0.04588, th=  -3.14159 
X=  -156.86917, Y=  0.04588, th=  -3.14159 
X=  -157.84655, Y=  0.04588, th=  -3.14159 
X=  -158.57959, Y=  0.04472, th=  -3.13841 
X=  -159.31263, Y=  0.04355, th=  -3.14159 
X=  -160.04567, Y=  0.04238, th=  -3.13841 
X=  -161.02305, Y=  0.03927, th=  -3.13841 
X=  -162.00043, Y=  0.03616, th=  -3.13841 
X=  -162.97781, Y=  0.03305, th=  -3.13841 
X=  -163.46649, Y=  0.03150, th=  -3.13841 
X=  -164.44387, Y=  0.02838, th=  -3.13841 
X=  -164.93256, Y=  0.02683, th=  -3.13841 
X=  -165.90994, Y=  0.02372, th=  -3.13841 
X=  -166.88732, Y=  0.02061, th=  -3.13841 
X=  -167.86470, Y=  0.01750, th=  -3.13841 
X=  -168.59773, Y=  0.01400, th=  -3.13523 
X=  -169.33076, Y=  0.01050, th=  -3.13841 
X=  -170.30814, Y=  0.00739, th=  -3.13841 
X=  -171.04117, Y=  0.00389, th=  -3.13523 
X=  -171.77420, Y=  0.00039, th=  -3.13841 
X=  -172.75158, Y=  -0.00272, th=  -3.13841 
X=  -173.72896, Y=  -0.00583, th=  -3.13841 
X=  -174.70634, Y=  -0.00894, th=  -3.13841 
X=  -175.19503, Y=  -0.01050, th=  -3.13841 
X=  -176.17241, Y=  -0.01361, th=  -3.13841 
X=  -176.90544, Y=  -0.01711, th=  -3.13523 
X=  -177.63847, Y=  -0.02061, th=  -3.13841 
X=  -178.61585, Y=  -0.02372, th=  -3.13841 
X=  -179.59323, Y=  -0.02683, th=  -3.13841 
X=  -180.57061, Y=  -0.02994, th=  -3.13841 
X=  -181.30364, Y=  -0.03344, th=  -3.13523 
X=  -182.03667, Y=  -0.03694, th=  -3.13841 
X=  -182.76970, Y=  -0.04044, th=  -3.13523 
X=  -183.50273, Y=  -0.04394, th=  -3.13841 
X=  -184.48011, Y=  -0.04705, th=  -3.13841 
X=  -185.45749, Y=  -0.05016, th=  -3.13841 
X=  -186.43487, Y=  -0.05327, th=  -3.13841 
X=  -187.16789, Y=  -0.05677, th=  -3.13523 
X=  -187.90092, Y=  -0.06027, th=  -3.13841 
X=  -188.63395, Y=  -0.06377, th=  -3.13523 
X=  -189.36698, Y=  -0.06727, th=  -3.13841 
X=  -190.34436, Y=  -0.07038, th=  -3.13841 
X=  -191.32174, Y=  -0.07349, th=  -3.13841 
X=  -192.05477, Y=  -0.07699, th=  -3.13523 
X=  -192.78780, Y=  -0.08049, th=  -3.13841 
X=  -193.52083, Y=  -0.08399, th=  -3.13523 
X=  -194.25386, Y=  -0.08749, th=  -3.13841 
X=  -195.23124, Y=  -0.09060, th=  -3.13841 
X=  -196.20862, Y=  -0.09371, th=  -3.13841 
X=  -197.18600, Y=  -0.09682, th=  -3.13841 
X=  -197.67469, Y=  -0.09837, th=  -3.13841 
X=  -198.65207, Y=  -0.10148, th=  -3.13841 
X=  -199.38510, Y=  -0.10498, th=  -3.13523 
X=  -200.11813, Y=  -0.10848, th=  -3.13841 
X=  -201.09551, Y=  -0.11159, th=  -3.13841 
X=  -202.07289, Y=  -0.11471, th=  -3.13841 
X=  -202.80592, Y=  -0.11820, th=  -3.13523 
X=  -203.53895, Y=  -0.12170, th=  -3.13841 
X=  -204.27198, Y=  -0.12520, th=  -3.13523 
X=  -205.24934, Y=  -0.13142, th=  -3.13523 
X=  -206.22671, Y=  -0.13765, th=  -3.13523 
X=  -206.95974, Y=  -0.14115, th=  -3.13841 
X=  -207.93712, Y=  -0.14426, th=  -3.13841 
X=  -208.67015, Y=  -0.14776, th=  -3.13523 
X=  -209.40318, Y=  -0.15126, th=  -3.13841 
X=  -210.13621, Y=  -0.15475, th=  -3.13523 
X=  -210.86924, Y=  -0.15825, th=  -3.13841 
X=  -211.84662, Y=  -0.16136, th=  -3.13841 
X=  -212.82400, Y=  -0.16448, th=  -3.13841 
X=  -213.80138, Y=  -0.16759, th=  -3.13841 
X=  -214.53441, Y=  -0.17109, th=  -3.13523 
X=  -215.26744, Y=  -0.17458, th=  -3.13841 
X=  -216.00047, Y=  -0.17808, th=  -3.13523 
X=  -216.73350, Y=  -0.18158, th=  -3.13841 
X=  -217.71088, Y=  -0.18469, th=  -3.13841 
X=  -218.68825, Y=  -0.18781, th=  -3.13841 
X=  -219.66563, Y=  -0.19092, th=  -3.13841 
X=  -220.15432, Y=  -0.19247, th=  -3.13841 
X=  -221.13170, Y=  -0.19558, th=  -3.13841 
X=  -222.10908, Y=  -0.19869, th=  -3.13841 
X=  -222.59777, Y=  -0.20025, th=  -3.13841 
X=  -223.57515, Y=  -0.20336, th=  -3.13841 
X=  -224.55253, Y=  -0.20647, th=  -3.13841 
X=  -225.52991, Y=  -0.20958, th=  -3.13841 
X=  -226.26295, Y=  -0.21075, th=  -3.14159 
X=  -227.24033, Y=  -0.21075, th=  -3.14159 
X=  -227.97337, Y=  -0.21191, th=  -3.13841 
X=  -228.70641, Y=  -0.21308, th=  -3.14159 
X=  -229.43944, Y=  -0.21425, th=  -3.13841 
X=  -230.41682, Y=  -0.21736, th=  -3.13841 
X=  -231.39420, Y=  -0.22047, th=  -3.13841 
X=  -232.12724, Y=  -0.22163, th=  -3.14159 
X=  -233.10462, Y=  -0.22163, th=  -3.14159 
X=  -234.08201, Y=  -0.22163, th=  -3.14159 
X=  -234.57070, Y=  -0.22163, th=  -3.14159 
X=  -235.54809, Y=  -0.22163, th=  -3.14159 
X=  -236.28112, Y=  -0.22280, th=  -3.13841 
X=  -237.01416, Y=  -0.22397, th=  -3.14159 
X=  -237.99154, Y=  -0.22397, th=  -3.14159 
X=  -238.96893, Y=  -0.22397, th=  -3.14159 
X=  -239.70197, Y=  -0.22280, th=  3.13841 
X=  -240.43500, Y=  -0.22163, th=  3.14159 
X=  -241.41239, Y=  -0.22163, th=  3.14159 
X=  -242.14543, Y=  -0.22280, th=  -3.13841 
X=  -242.87846, Y=  -0.22397, th=  -3.14159 
X=  -243.85585, Y=  -0.22397, th=  -3.14159 
X=  -244.58888, Y=  -0.22280, th=  3.13841 
X=  -245.56626, Y=  -0.21969, th=  3.13841 
X=  -246.29930, Y=  -0.21852, th=  3.14159 
X=  -247.27669, Y=  -0.21852, th=  3.14159 
X=  -247.76538, Y=  -0.21852, th=  3.14159 
X=  -248.74276, Y=  -0.21852, th=  3.14159 
X=  -249.72015, Y=  -0.21852, th=  3.14159 
X=  -250.69753, Y=  -0.21852, th=  3.14159 
X=  -251.43057, Y=  -0.21736, th=  3.13841 
X=  -252.16361, Y=  -0.21619, th=  3.14159 
X=  -253.14099, Y=  -0.21619, th=  3.14159 
X=  -253.62968, Y=  -0.21619, th=  3.14159 
X=  -254.60707, Y=  -0.21619, th=  3.14159 
X=  -255.34010, Y=  -0.21502, th=  3.13841 
X=  -256.31748, Y=  -0.21191, th=  3.13841 
X=  -257.29486, Y=  -0.20880, th=  3.13841 
X=  -258.02790, Y=  -0.20764, th=  3.14159 
X=  -258.76094, Y=  -0.20647, th=  3.13841 
X=  -259.49398, Y=  -0.20530, th=  3.14159 
X=  -260.47136, Y=  -0.20530, th=  3.14159 
X=  -261.20440, Y=  -0.20414, th=  3.13841 
X=  -262.18178, Y=  -0.20103, th=  3.13841 
X=  -262.91481, Y=  -0.19986, th=  3.14159 
X=  -263.64785, Y=  -0.19869, th=  3.13841 
X=  -264.38089, Y=  -0.19753, th=  3.14159 
X=  -265.11393, Y=  -0.19636, th=  3.13841 
X=  -266.09131, Y=  -0.19325, th=  3.13841 
X=  -267.06868, Y=  -0.19014, th=  3.13841 
X=  -268.04606, Y=  -0.18703, th=  3.13841 
X=  -268.53475, Y=  -0.18547, th=  3.13841 
X=  -269.51213, Y=  -0.18236, th=  3.13841 
X=  -270.24517, Y=  -0.18119, th=  3.14159 
X=  -270.97821, Y=  -0.18003, th=  3.13841 
X=  -271.95559, Y=  -0.17692, th=  3.13841 
X=  -272.93297, Y=  -0.17381, th=  3.13841 
X=  -273.91035, Y=  -0.17070, th=  3.13841 
X=  -274.39904, Y=  -0.16914, th=  3.13841 
X=  -275.37642, Y=  -0.16603, th=  3.13841 
X=  -276.10945, Y=  -0.16486, th=  3.14159 
X=  -277.08684, Y=  -0.16486, th=  3.14159 
X=  -277.81987, Y=  -0.16370, th=  3.13841 
X=  -278.79725, Y=  -0.16059, th=  3.13841 
X=  -279.77463, Y=  -0.15748, th=  3.13841 
X=  -280.26332, Y=  -0.15592, th=  3.13841 
X=  -281.24070, Y=  -0.15281, th=  3.13841 
X=  -281.97374, Y=  -0.15164, th=  3.14159 
X=  -282.70678, Y=  -0.15048, th=  3.13841 
X=  -283.68416, Y=  -0.14737, th=  3.13841 
X=  -284.66154, Y=  -0.14426, th=  3.13841 
X=  -285.63892, Y=  -0.14115, th=  3.13841 
X=  -286.12761, Y=  -0.13959, th=  3.13841 
X=  -287.10498, Y=  -0.13648, th=  3.13841 
X=  -287.59367, Y=  -0.13492, th=  3.13841 
X=  -288.57105, Y=  -0.13181, th=  3.13841 
X=  -289.54843, Y=  -0.12870, th=  3.13841 
X=  -290.28146, Y=  -0.12520, th=  3.13523 
X=  -291.01449, Y=  -0.12170, th=  3.13841 
X=  -291.99187, Y=  -0.11859, th=  3.13841 
X=  -292.72490, Y=  -0.11509, th=  3.13523 
X=  -293.45793, Y=  -0.11159, th=  3.13841 
X=  -294.43531, Y=  -0.10848, th=  3.13841 
X=  -295.41269, Y=  -0.10537, th=  3.13841 
X=  -296.39007, Y=  -0.10226, th=  3.13841 
X=  -297.12310, Y=  -0.09876, th=  3.13523 
X=  -298.10047, Y=  -0.09254, th=  3.13523 
X=  -298.58915, Y=  -0.08943, th=  3.13523 
X=  -299.56651, Y=  -0.08321, th=  3.13523 
X=  -300.54388, Y=  -0.07699, th=  3.13523 
X=  -301.27691, Y=  -0.07349, th=  3.13841 
X=  -302.00994, Y=  -0.06999, th=  3.13523 
X=  -302.98730, Y=  -0.06377, th=  3.13523 
X=  -303.96467, Y=  -0.05755, th=  3.13523 
X=  -304.69768, Y=  -0.05171, th=  3.13204 
X=  -305.43070, Y=  -0.04588, th=  3.13523 
X=  -306.40806, Y=  -0.03966, th=  3.13523 
X=  -306.89674, Y=  -0.03655, th=  3.13523 
X=  -307.87411, Y=  -0.03033, th=  3.13523 
X=  -308.85147, Y=  -0.02411, th=  3.13523 
X=  -309.58449, Y=  -0.01828, th=  3.13204 
X=  -310.31750, Y=  -0.01244, th=  3.13523 
X=  -311.29487, Y=  -0.00622, th=  3.13523 
X=  -312.27223, Y=  -0.00000, th=  3.13523 
X=  -312.76091, Y=  0.00311, th=  3.13523 
X=  -313.73828, Y=  0.00933, th=  3.13523 
X=  -314.71564, Y=  0.01555, th=  3.13523 
X=  -315.44866, Y=  0.02138, th=  3.13204 
X=  -316.18167, Y=  0.02722, th=  3.13523 
X=  -317.15904, Y=  0.03344, th=  3.13523 
X=  -317.89207, Y=  0.03694, th=  3.13841 
X=  -318.86945, Y=  0.04005, th=  3.13841 
X=  -319.60248, Y=  0.04355, th=  3.13523 
X=  -320.57984, Y=  0.04977, th=  3.13523 
