X=  771.98299, Y=  2600.21769, th=  0.00000 
X=  773.34434, Y=  2600.21769, th=  0.00000 
X=  774.25191, Y=  2600.21769, th=  0.00000 
X=  775.15949, Y=  2600.21769, th=  0.00000 
X=  776.29395, Y=  2600.21952, th=  0.00324 
X=  777.42841, Y=  2600.22136, th=  0.00000 
X=  778.33598, Y=  2600.22136, th=  0.00000 
X=  779.69734, Y=  2600.22136, th=  0.00000 
X=  780.60491, Y=  2600.22136, th=  0.00000 
X=  781.51248, Y=  2600.22136, th=  0.00000 
X=  782.64694, Y=  2600.22320, th=  0.00324 
X=  783.78141, Y=  2600.22504, th=  0.00000 
X=  784.68898, Y=  2600.22504, th=  0.00000 
X=  785.82344, Y=  2600.22320, th=  -0.00324 
X=  786.95790, Y=  2600.22136, th=  0.00000 
X=  787.86547, Y=  2600.22136, th=  0.00000 
X=  788.77304, Y=  2600.22136, th=  0.00000 
X=  789.90751, Y=  2600.22320, th=  0.00324 
X=  791.04197, Y=  2600.22504, th=  0.00000 
X=  792.17643, Y=  2600.22320, th=  -0.00324 
X=  793.08400, Y=  2600.22026, th=  -0.00324 
X=  793.99156, Y=  2600.21732, th=  -0.00324 
X=  795.12603, Y=  2600.21548, th=  0.00000 
X=  796.26049, Y=  2600.21364, th=  -0.00324 
X=  797.39495, Y=  2600.21180, th=  0.00000 
X=  798.52941, Y=  2600.20996, th=  -0.00324 
X=  799.43698, Y=  2600.20702, th=  -0.00324 
X=  800.34455, Y=  2600.20408, th=  -0.00324 
X=  801.47901, Y=  2600.20224, th=  0.00000 
X=  802.61347, Y=  2600.20040, th=  -0.00324 
X=  803.52104, Y=  2600.19746, th=  -0.00324 
X=  804.88239, Y=  2600.19305, th=  -0.00324 
X=  805.78996, Y=  2600.19011, th=  -0.00324 
X=  806.69752, Y=  2600.18717, th=  -0.00324 
X=  808.05887, Y=  2600.18275, th=  -0.00324 
X=  808.96644, Y=  2600.17981, th=  -0.00324 
X=  810.10089, Y=  2600.17430, th=  -0.00648 
X=  811.23534, Y=  2600.16878, th=  -0.00324 
X=  812.14291, Y=  2600.16584, th=  -0.00324 
X=  813.27736, Y=  2600.16032, th=  -0.00648 
X=  814.41181, Y=  2600.15481, th=  -0.00324 
X=  815.54626, Y=  2600.14929, th=  -0.00648 
X=  816.45381, Y=  2600.14341, th=  -0.00648 
X=  817.58826, Y=  2600.13789, th=  -0.00324 
X=  818.49583, Y=  2600.13495, th=  -0.00324 
X=  819.63028, Y=  2600.12943, th=  -0.00648 
X=  820.53783, Y=  2600.12355, th=  -0.00648 
X=  821.89916, Y=  2600.11473, th=  -0.00648 
X=  822.80671, Y=  2600.10884, th=  -0.00648 
X=  823.71426, Y=  2600.10296, th=  -0.00648 
X=  824.84871, Y=  2600.09744, th=  -0.00324 
X=  825.75628, Y=  2600.09450, th=  -0.00324 
X=  826.89073, Y=  2600.08899, th=  -0.00648 
X=  827.79828, Y=  2600.08310, th=  -0.00648 
X=  828.70583, Y=  2600.07722, th=  -0.00648 
X=  830.06716, Y=  2600.06839, th=  -0.00648 
X=  830.97471, Y=  2600.06251, th=  -0.00648 
X=  831.42850, Y=  2600.06104, th=  -0.00000 
X=  832.56296, Y=  2600.06288, th=  0.00324 
X=  833.47053, Y=  2600.06582, th=  0.00324 
X=  834.60499, Y=  2600.06766, th=  -0.00000 
X=  835.51256, Y=  2600.06766, th=  -0.00000 
X=  836.64702, Y=  2600.06582, th=  -0.00324 
X=  837.55459, Y=  2600.06288, th=  -0.00324 
X=  838.68905, Y=  2600.06104, th=  -0.00000 
X=  839.82351, Y=  2600.05920, th=  -0.00324 
X=  840.73108, Y=  2600.05626, th=  -0.00324 
X=  842.09243, Y=  2600.05185, th=  -0.00324 
X=  843.00000, Y=  2600.04890, th=  -0.00324 
X=  843.90756, Y=  2600.04596, th=  -0.00324 
X=  845.04203, Y=  2600.04412, th=  -0.00000 
X=  845.94960, Y=  2600.04412, th=  -0.00000 
X=  847.31095, Y=  2600.04412, th=  -0.00000 
X=  848.21852, Y=  2600.04412, th=  -0.00000 
X=  849.35299, Y=  2600.04229, th=  -0.00324 
X=  850.48745, Y=  2600.04045, th=  -0.00000 
X=  851.39502, Y=  2600.04045, th=  -0.00000 
X=  852.52948, Y=  2600.04229, th=  0.00324 
X=  853.66395, Y=  2600.04412, th=  -0.00000 
X=  854.57152, Y=  2600.04412, th=  -0.00000 
X=  855.93287, Y=  2600.04412, th=  -0.00000 
X=  857.06734, Y=  2600.04596, th=  0.00324 
X=  857.97490, Y=  2600.04890, th=  0.00324 
X=  858.88247, Y=  2600.05185, th=  0.00324 
X=  860.24382, Y=  2600.05626, th=  0.00324 
X=  861.37827, Y=  2600.06177, th=  0.00648 
X=  862.51272, Y=  2600.06729, th=  0.00324 
X=  863.64717, Y=  2600.07281, th=  0.00648 
X=  864.55472, Y=  2600.07869, th=  0.00648 
X=  865.91605, Y=  2600.08751, th=  0.00648 
X=  867.05050, Y=  2600.09303, th=  0.00324 
X=  868.18495, Y=  2600.09855, th=  0.00648 
X=  869.09250, Y=  2600.10443, th=  0.00648 
X=  870.22693, Y=  2600.11362, th=  0.00972 
X=  871.36136, Y=  2600.12282, th=  0.00648 
X=  872.49581, Y=  2600.12833, th=  0.00324 
X=  873.63026, Y=  2600.13385, th=  0.00648 
X=  874.53781, Y=  2600.13973, th=  0.00648 
X=  875.67224, Y=  2600.14892, th=  0.00972 
X=  876.80667, Y=  2600.15812, th=  0.00648 
X=  878.16799, Y=  2600.16694, th=  0.00648 
X=  879.07555, Y=  2600.17282, th=  0.00648 
X=  880.20997, Y=  2600.18202, th=  0.00972 
X=  881.34440, Y=  2600.19121, th=  0.00648 
X=  882.25195, Y=  2600.19709, th=  0.00648 
X=  883.61328, Y=  2600.20592, th=  0.00648 
X=  884.52083, Y=  2600.21180, th=  0.00648 
X=  885.65526, Y=  2600.22099, th=  0.00972 
