X=  2548.05284, Y=  2600.24343, th=  0.00000 
X=  2548.96041, Y=  2600.24343, th=  0.00000 
X=  2549.86798, Y=  2600.24343, th=  0.00000 
X=  2551.00244, Y=  2600.24527, th=  0.00324 
X=  2552.13691, Y=  2600.24710, th=  0.00000 
X=  2553.04448, Y=  2600.24710, th=  0.00000 
X=  2554.17894, Y=  2600.24527, th=  -0.00324 
X=  2555.31340, Y=  2600.24343, th=  0.00000 
X=  2556.22097, Y=  2600.24343, th=  0.00000 
X=  2557.12855, Y=  2600.24343, th=  0.00000 
X=  2558.26301, Y=  2600.24527, th=  0.00324 
X=  2559.39747, Y=  2600.24710, th=  0.00000 
X=  2560.53193, Y=  2600.24527, th=  -0.00324 
X=  2561.66640, Y=  2600.24343, th=  0.00000 
X=  2562.57397, Y=  2600.24343, th=  0.00000 
X=  2563.70843, Y=  2600.24159, th=  -0.00324 
X=  2564.84289, Y=  2600.23975, th=  0.00000 
X=  2565.97735, Y=  2600.23791, th=  -0.00324 
X=  2567.11182, Y=  2600.23607, th=  0.00000 
X=  2568.01939, Y=  2600.23607, th=  0.00000 
X=  2569.38074, Y=  2600.23607, th=  0.00000 
X=  2570.51521, Y=  2600.23423, th=  -0.00324 
X=  2571.42277, Y=  2600.23129, th=  -0.00324 
X=  2572.55724, Y=  2600.22945, th=  0.00000 
X=  2573.69170, Y=  2600.22762, th=  -0.00324 
X=  2575.05305, Y=  2600.22320, th=  -0.00324 
X=  2575.96061, Y=  2600.22026, th=  -0.00324 
X=  2577.09508, Y=  2600.21842, th=  0.00000 
X=  2578.22954, Y=  2600.21658, th=  -0.00324 
X=  2579.59089, Y=  2600.21217, th=  -0.00324 
X=  2580.49846, Y=  2600.20923, th=  -0.00324 
X=  2581.63292, Y=  2600.20739, th=  0.00000 
X=  2582.76738, Y=  2600.20555, th=  -0.00324 
X=  2584.12873, Y=  2600.20114, th=  -0.00324 
X=  2585.03630, Y=  2600.19820, th=  -0.00324 
X=  2586.17076, Y=  2600.19636, th=  0.00000 
X=  2587.30522, Y=  2600.19452, th=  -0.00324 
X=  2588.43968, Y=  2600.19268, th=  0.00000 
X=  2589.57415, Y=  2600.19084, th=  -0.00324 
X=  2590.70861, Y=  2600.18901, th=  0.00000 
X=  2591.61618, Y=  2600.18901, th=  0.00000 
X=  2592.97754, Y=  2600.18901, th=  0.00000 
X=  2594.11200, Y=  2600.18717, th=  -0.00324 
X=  2595.01957, Y=  2600.18423, th=  -0.00324 
X=  2596.15403, Y=  2600.18239, th=  0.00000 
X=  2597.28849, Y=  2600.18055, th=  -0.00324 
X=  2598.42295, Y=  2600.17871, th=  0.00000 
X=  2599.55742, Y=  2600.17687, th=  -0.00324 
X=  2600.69188, Y=  2600.17503, th=  0.00000 
X=  2601.59945, Y=  2600.17503, th=  0.00000 
X=  2602.73391, Y=  2600.17687, th=  0.00324 
X=  2603.86838, Y=  2600.17871, th=  0.00000 
X=  2604.77595, Y=  2600.17871, th=  0.00000 
X=  2605.45662, Y=  2600.17761, th=  -0.00324 
X=  2606.13729, Y=  2600.17430, th=  -0.00648 
X=  2606.81795, Y=  2600.16878, th=  -0.00972 
X=  2607.27171, Y=  2600.16437, th=  -0.00972 
X=  2607.95235, Y=  2600.15665, th=  -0.01297 
X=  2608.40608, Y=  2600.14929, th=  -0.01945 
X=  2608.85978, Y=  2600.14047, th=  -0.01945 
X=  2609.08662, Y=  2600.13569, th=  -0.02269 
X=  2609.54025, Y=  2600.12392, th=  -0.02917 
X=  2609.76704, Y=  2600.11694, th=  -0.03241 
X=  2609.76704, Y=  2600.11694, th=  -0.03890 
X=  2610.22042, Y=  2600.09782, th=  -0.04538 
X=  2610.22042, Y=  2600.09782, th=  -0.04538 
X=  2610.44703, Y=  2600.08643, th=  -0.05510 
X=  2610.67355, Y=  2600.07356, th=  -0.05834 
X=  2610.90004, Y=  2600.05997, th=  -0.06159 
X=  2610.90004, Y=  2600.05997, th=  -0.06807 
X=  2611.12638, Y=  2600.04417, th=  -0.07131 
X=  2611.12638, Y=  2600.04417, th=  -0.07131 
X=  2611.35262, Y=  2600.02690, th=  -0.08103 
X=  2611.35262, Y=  2600.02690, th=  -0.08103 
X=  2611.57867, Y=  2600.00744, th=  -0.09076 
X=  2611.35275, Y=  2600.02837, th=  -0.09400 
X=  2611.57860, Y=  2600.00670, th=  -0.09724 
X=  2611.57860, Y=  2600.00670, th=  -0.10372 
X=  2611.57860, Y=  2600.00670, th=  -0.11021 
X=  2611.57860, Y=  2600.00670, th=  -0.11669 
X=  2611.57860, Y=  2600.00670, th=  -0.12317 
X=  2611.57860, Y=  2600.00670, th=  -0.12965 
X=  2611.57860, Y=  2600.00670, th=  -0.13614 
X=  2611.57860, Y=  2600.00670, th=  -0.14262 
X=  2611.35407, Y=  2600.03932, th=  -0.14586 
X=  2611.35407, Y=  2600.03932, th=  -0.15234 
X=  2611.35407, Y=  2600.03932, th=  -0.15882 
X=  2611.13009, Y=  2600.07557, th=  -0.16207 
X=  2611.13009, Y=  2600.07557, th=  -0.16855 
X=  2610.90660, Y=  2600.11471, th=  -0.17827 
X=  2610.90660, Y=  2600.11471, th=  -0.17827 
X=  2610.68350, Y=  2600.15603, th=  -0.18800 
X=  2610.68350, Y=  2600.15603, th=  -0.19448 
X=  2610.68350, Y=  2600.15603, th=  -0.20096 
X=  2610.68350, Y=  2600.15603, th=  -0.20744 
X=  2610.46155, Y=  2600.20313, th=  -0.21069 
X=  2610.68319, Y=  2600.15460, th=  -0.22041 
X=  2610.46187, Y=  2600.20456, th=  -0.22365 
X=  2610.46187, Y=  2600.20456, th=  -0.23013 
X=  2610.46187, Y=  2600.20456, th=  -0.23662 
X=  2610.46187, Y=  2600.20456, th=  -0.24310 
X=  2610.46187, Y=  2600.20456, th=  -0.24958 
X=  2610.46187, Y=  2600.20456, th=  -0.25606 
X=  2610.46187, Y=  2600.20456, th=  -0.26255 
X=  2610.68089, Y=  2600.14532, th=  -0.26579 
X=  2610.46225, Y=  2600.20598, th=  -0.27551 
X=  2610.68049, Y=  2600.14390, th=  -0.27875 
X=  2610.68049, Y=  2600.14390, th=  -0.28524 
X=  2610.46287, Y=  2600.20810, th=  -0.28848 
X=  2610.68007, Y=  2600.14249, th=  -0.29820 
X=  2610.46330, Y=  2600.20951, th=  -0.30144 
X=  2610.46330, Y=  2600.20951, th=  -0.30793 
X=  2610.46330, Y=  2600.20951, th=  -0.31441 
X=  2610.46330, Y=  2600.20951, th=  -0.31441 
X=  2610.46330, Y=  2600.20951, th=  -0.32737 
X=  2610.46330, Y=  2600.20951, th=  -0.32737 
X=  2610.46330, Y=  2600.20951, th=  -0.33386 
X=  2610.46330, Y=  2600.20951, th=  -0.34034 
X=  2610.46330, Y=  2600.20951, th=  -0.34682 
X=  2610.46330, Y=  2600.20951, th=  -0.35330 
X=  2610.46330, Y=  2600.20951, th=  -0.35979 
X=  2610.46330, Y=  2600.20951, th=  -0.36627 
X=  2610.25159, Y=  2600.29111, th=  -0.36951 
X=  2610.46276, Y=  2600.20813, th=  -0.37924 
X=  2610.25213, Y=  2600.29247, th=  -0.38248 
X=  2610.25213, Y=  2600.29247, th=  -0.38896 
X=  2610.46193, Y=  2600.20609, th=  -0.39220 
X=  2610.46193, Y=  2600.20609, th=  -0.39868 
X=  2610.46193, Y=  2600.20609, th=  -0.40517 
X=  2610.25356, Y=  2600.29586, th=  -0.40841 
X=  2610.46135, Y=  2600.20474, th=  -0.41813 
X=  2610.46135, Y=  2600.20474, th=  -0.41813 
X=  2610.25445, Y=  2600.29788, th=  -0.42785 
X=  2610.46074, Y=  2600.20340, th=  -0.43110 
X=  2610.46074, Y=  2600.20340, th=  -0.43758 
X=  2610.46074, Y=  2600.20340, th=  -0.44406 
X=  2610.46074, Y=  2600.20340, th=  -0.45054 
X=  2610.46074, Y=  2600.20340, th=  -0.45703 
X=  2610.25730, Y=  2600.30386, th=  -0.46027 
X=  2610.46008, Y=  2600.20209, th=  -0.46999 
X=  2610.46008, Y=  2600.20209, th=  -0.46999 
X=  2610.46008, Y=  2600.20209, th=  -0.47647 
X=  2610.46008, Y=  2600.20209, th=  -0.48296 
X=  2610.46008, Y=  2600.20209, th=  -0.48944 
X=  2610.46008, Y=  2600.20209, th=  -0.49592 
X=  2610.46008, Y=  2600.20209, th=  -0.50241 
X=  2610.46008, Y=  2600.20209, th=  -0.50889 
X=  2610.46008, Y=  2600.20209, th=  -0.51537 
X=  2610.46008, Y=  2600.20209, th=  -0.52185 
X=  2610.46008, Y=  2600.20209, th=  -0.52834 
X=  2610.46008, Y=  2600.20209, th=  -0.53482 
X=  2610.46008, Y=  2600.20209, th=  -0.53482 
X=  2610.65473, Y=  2600.08549, th=  -0.54454 
X=  2610.46084, Y=  2600.20335, th=  -0.54778 
X=  2610.46084, Y=  2600.20335, th=  -0.55427 
X=  2610.46084, Y=  2600.20335, th=  -0.56075 
X=  2610.65279, Y=  2600.08237, th=  -0.56399 
X=  2610.65279, Y=  2600.08237, th=  -0.57047 
X=  2610.46203, Y=  2600.20521, th=  -0.57371 
X=  2610.65199, Y=  2600.08113, th=  -0.58344 
X=  2610.46284, Y=  2600.20643, th=  -0.58668 
